code,label,broad_domain_code,broad_domain_label,available_in_indicator_data,domain_role
OCEAN_COAST,Climate change adaptation in coastal zones,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_DES,Desalination of sea water,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_FISH,"Climate change mitigation and adaptation in fishing, aquaculture and aquafarming",OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_POL,Ocean pollution abatement,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_POL_BAL,Ballast water treatment,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_POL_OIL,Oil spill (and other floating debris) prevention and cleanup,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_REN,Ocean renewable energy generation,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_REN_SOLAR,Offshore solar energy,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_REN_TIDE,"Tide, wave, current and other marine energy",OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_REN_WIND,Offshore wind energy,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_TR,Climate change mitigation in maritime transport,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_TR_FUEL,Fuel-efficient propulsion or fuel substitution,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
OCEAN_TR_VES,Improved vessel design,OCEAN,Sustainable ocean economy,False,metadata subdomain under available broad domain
TRA_AIR,Aeronautics or air transport,TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_EN,Enabling technologies in transport,TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_EN_CE,"Application of hydrogen technology to transportation, e.g. using fuel cells",TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_EN_EL,Electric vehicle charging,TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_MA,Maritime or waterways transport,TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_NEC,Not elsewhere classified,TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_RA,Rail transport,TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_RO,Road transport,TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_RO_CO,Conventional vehicles (based on internal combustion engine),TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_RO_EF,Fuel efficiency-improving vehicle design (common to all road vehicles),TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_RO_EL,Electric vehicles,TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
TRA_RO_HY,Hybrid vehicles,TRA,Climate change mitigation technologies related to transportation,False,metadata subdomain under available broad domain
WAT_WASTE_GHG,Enabling technologies or technologies with a potential or indirect contribution to GHG emissions mitigation,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_NEC,Not elsewhere classified,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_ORG,Bio-organic fraction processing; Production of fertilisers from the organic fraction of waste or refuse,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC,"Reuse, recycling or recovery technologies",WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_BAT,Recycling of batteries or fuel cells,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_CD,Construction or demolition [C&D] waste,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_DIS,"Mechanical processing of waste for the recovery of materials, e.g. crushing, shredding, separation or disassembly",WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_ELEC,Recycling of waste of electrical or electronic equipment (WEEE),WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_FAT,"Recovery of fats, fatty oils, fatty acids or other fatty substances, e.g. lanolin or waxes",WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_FIB,Disintegrating fibre-containing textile articles to obtain fibres for re-use,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_GL,Glass recycling,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_MET,Waste management of vehicles,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_NUC,Use of waste materials as fillers for mortars or concrete,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_PA,Paper recycling,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_PACK,"Packaging reuse or recycling, e.g. of multilayer packaging",WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_PL,Plastics and rubber recycling,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_REC_WOOD,Recycling of wood or furniture waste,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_TREAT,Wastewater treatment,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_WASTE,Solid waste management,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_WASTE_FILL,Landfill technologies aiming to mitigate methane emissions,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_WASTE_SEP,Waste processing or separation,WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
WAT_WASTE_WASTE_TR,"Waste collection, transportation, transfer or storage",WAT_WASTE,Climate change mitigation technologies related to wastewater treatment or waste management,False,metadata subdomain under available broad domain
CCM,Climate change mitigation,CCM,Climate change mitigation,False,climate mitigation umbrella
NA,Not available,NA,Not available,False,metadata technology domain
