feature,country_code,country_name,year_start,year_end,calendar_year_span,total_years,observed_years,missing_years,missing_share,first_observed_year,last_observed_year,leading_missing_years,internal_missing_years,trailing_missing_years,missingness_pattern
renewable_energy_share_lag1_3_mean,AZE,Azerbaijan,1999,2023,25,21,20,1,0.047619047619047616,1999.0,2021.0,0,0,1,early_end
renewable_energy_share_lag1_3_mean,BEL,Belgium,1999,2023,25,25,24,1,0.04,1999.0,2022.0,0,0,1,early_end
renewable_energy_share_lag1_3_mean,BEN,Benin,2012,2012,1,1,1,0,0.0,2012.0,2012.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,BFA,Burkina Faso,2008,2023,16,6,6,0,0.0,2008.0,2023.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,BGD,Bangladesh,2000,2023,24,22,21,1,0.045454545454545456,2000.0,2022.0,0,0,1,early_end
renewable_energy_share_lag1_3_mean,BGR,Bulgaria,1999,2023,25,25,24,1,0.04,1999.0,2022.0,0,0,1,early_end
renewable_energy_share_lag1_3_mean,BHR,Bahrain,2004,2022,19,9,9,0,0.0,2004.0,2022.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,BHS,"Bahamas, The",1999,2023,25,17,17,0,0.0,1999.0,2023.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,BIH,Bosnia and Herzegovina,2002,2022,21,20,20,0,0.0,2002.0,2022.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,BLR,Belarus,1999,2022,24,24,24,0,0.0,1999.0,2022.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,BLZ,Belize,2001,2020,20,6,6,0,0.0,2001.0,2020.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,BOL,Bolivia,2006,2023,18,7,6,1,0.14285714285714285,2006.0,2022.0,0,0,1,early_end
